Year,Incidents
1784,6
1785,0
1786,0
1787,5
1788,1
1789,0
1790,0
1791,1
1792,0
1793,0
1794,2
1795,0
1796,1
1797,1
1798,0
1799,1
1800,2
1801,0
1802,1
1803,1
1804,1
1805,0
1806,3
1807,2
1808,3
1809,0
1810,0
1811,3
1812,1
1813,2
1814,0
1815,0
1816,0
1817,2
1818,0
1819,1
1820,1
1821,0
1822,0
1823,1
1824,2
1825,5
1826,0
1827,1
1828,1
1829,4
1830,1
1831,3
1832,0
1833,5
1834,7
1835,8
1836,4
1837,2
1838,4
1839,1
1840,5
1841,4
1842,3
1843,1
1844,6
1845,0
1846,0
1847,2
1848,1
1849,13
1850,6
1851,13
1852,18
1853,15
1854,13
1855,26
1856,21
1857,42
1858,23
1859,24
1860,26
1861,17
1862,8
1863,21
1864,19
1865,15
